ID,name,full_name,club,special,age,league,birth_date,height_cm,weight_kg,body_type,real_face,nationality,eur_value,eur_wage,eur_release_clause
20801,Cristiano Ronaldo,C. Ronaldo dos Santos Aveiro,Real Madrid CF,2228,32,Spanish Primera División,1985-02-05,185.0,80.0,C. Ronaldo,True,Portugal,95500000.0,565000.0,195800000.0
158023,L. Messi,Lionel Messi,FC Barcelona,2158,30,Spanish Primera División,1987-06-24,170.0,72.0,Messi,True,Argentina,105000000.0,565000.0,215300000.0
190871,Neymar,Neymar da Silva Santos Jr.,Paris Saint-Germain,2100,25,French Ligue 1,1992-02-05,175.0,68.0,Neymar,True,Brazil,123000000.0,280000.0,236800000.0
176580,L. Suárez,Luis Suárez,FC Barcelona,2291,30,Spanish Primera División,1987-01-24,182.0,86.0,Normal,True,Uruguay,97000000.0,510000.0,198900000.0
167495,M. Neuer,Manuel Neuer,FC Bayern Munich,1493,31,German Bundesliga,1986-03-27,193.0,92.0,Normal,True,Germany,61000000.0,230000.0,100700000.0
188545,R. Lewandowski,Robert Lewandowski,FC Bayern Munich,2146,28,German Bundesliga,1988-08-21,185.0,79.0,Normal,True,Poland,92000000.0,355000.0,151800000.0
193080,De Gea,David De Gea Quintana,Manchester United,1458,26,English Premier League,1990-11-07,193.0,76.0,Lean,True,Spain,64500000.0,215000.0,124200000.0
183277,E. Hazard,Eden Hazard,Chelsea,2096,26,English Premier League,1991-01-07,173.0,76.0,Normal,True,Belgium,90500000.0,295000.0,174200000.0
182521,T. Kroos,Toni Kroos,Real Madrid CF,2165,27,Spanish Primera División,1990-01-04,182.0,78.0,Normal,True,Germany,79000000.0,340000.0,162000000.0
167664,G. Higuaín,Gonzalo Higuaín,Juventus,1961,29,Italian Serie A,1987-12-10,184.0,87.0,Normal,True,Argentina,77000000.0,275000.0,127100000.0
155862,Sergio Ramos,Sergio Ramos García,Real Madrid CF,2153,31,Spanish Primera División,1986-03-30,183.0,75.0,Normal,True,Spain,52000000.0,310000.0,106600000.0
192985,K. De Bruyne,Kevin De Bruyne,Manchester City,2162,26,English Premier League,1991-06-28,181.0,68.0,Normal,True,Belgium,83000000.0,285000.0,159800000.0
192119,T. Courtois,Thibaut Courtois,Chelsea,1282,25,English Premier League,1992-05-11,199.0,94.0,Courtois,True,Belgium,59000000.0,190000.0,113600000.0
184941,A. Sánchez,Alexis Sánchez,Arsenal,2181,28,English Premier League,1988-12-19,169.0,62.0,Normal,True,Chile,67500000.0,265000.0,124900000.0
177003,L. Modrić,Luka Modrić,Real Madrid CF,2228,31,Spanish Primera División,1985-09-09,174.0,65.0,Lean,True,Croatia,57000000.0,340000.0,116900000.0
173731,G. Bale,Gareth Bale,,2259,27,Spanish Primera División,1989-07-16,183.0,74.0,Lean,True,Wales,69500000.0,370000.0,142500000.0
153079,S. Agüero,Sergio Agüero,Manchester City,2074,29,English Premier League,1988-06-02,173.0,70.0,Normal,True,Argentina,66500000.0,325000.0,123000000.0
138956,G. Chiellini,Giorgio Chiellini,Juventus,1867,32,Italian Serie A,1984-08-14,187.0,85.0,Normal,True,Italy,38000000.0,225000.0,62700000.0
1179,G. Buffon,Gianluigi Buffon,,1335,39,Italian Serie A,1978-01-28,191.0,94.0,Lean,True,Italy,4500000.0,110000.0,7400000.0
